iter	Passed	Remaining
402	10823	16034
403	10856	16015
404	10886	15993
405	10917	15972
406	10949	15953
407	10981	15933
408	11010	15910
409	11041	15889
410	11071	15866
411	11101	15844
412	11133	15823
413	11165	15804
414	11192	15777
415	11225	15758
416	11252	15731
417	11280	15707
418	11312	15686
419	11341	15661
420	11379	15649
421	11407	15624
422	11439	15603
423	11472	15585
424	11503	15562
425	11535	15542
426	11569	15524
427	11598	15500
428	11626	15475
429	11656	15450
430	11685	15426
431	11718	15407
432	11746	15382
433	11777	15360
434	11812	15343
435	11845	15323
436	11877	15301
437	11909	15281
438	11942	15261
439	11970	15234
440	12004	15216
441	12037	15196
442	12068	15173
443	12099	15151
444	12132	15132
445	12166	15112
446	12197	15089
447	12230	15069
448	12262	15048
449	12295	15027
450	12331	15011
451	12364	14989
452	12396	14968
453	12429	14947
454	12465	14931
455	12495	14907
456	12525	14882
457	12557	14860
458	12588	14837
459	12619	14814
460	12649	14790
461	12683	14769
462	12715	14748
463	12745	14723
464	12773	14696
465	12805	14674
466	12836	14651
467	12864	14624
468	12898	14603
469	12935	14586
470	12963	14559
471	12995	14536
472	13025	14512
473	13056	14488
474	13088	14465
475	13120	14444
476	13155	14423
477	13185	14399
478	13213	14372
479	13243	14347
480	13271	14320
481	13299	14292
482	13329	14267
483	13366	14250
484	13397	14225
485	13427	14200
486	13458	14177
487	13488	14152
488	13522	14130
489	13554	14107
490	13587	14085
491	13617	14060
492	13645	14033
493	13677	14010
494	13709	13985
495	13742	13963
496	13773	13939
497	13805	13916
498	13838	13894
499	13873	13873
500	13903	13848
501	13934	13823
502	13965	13798
503	13995	13773
504	14030	13752
505	14061	13727
506	14090	13701
507	14120	13676
508	14151	13651
509	14183	13626
510	14213	13601
511	14251	13583
512	14280	13557
513	14308	13528
514	14340	13504
515	14368	13477
516	14400	13453
517	14431	13428
518	14467	13408
519	14498	13383
520	14529	13358
521	14561	13334
522	14595	13311
523	14626	13286
524	14658	13262
525	14692	13240
526	14721	13213
527	14753	13188
528	14783	13162
529	14817	13140
530	14849	13115
531	14882	13092
532	14913	13066
533	14944	13041
534	14972	13013
535	15003	12988
536	15033	12961
537	15063	12935
538	15092	12908
539	15127	12886
540	15156	12859
541	15191	12837
542	15227	12815
543	15256	12788
544	15286	12762
545	15319	12738
546	15352	12714
547	15382	12687
548	15411	12660
549	15442	12634
550	15468	12605
551	15498	12578
552	15532	12554
553	15565	12530
554	15596	12505
555	15631	12482
556	15660	12455
557	15689	12427
558	15720	12401
559	15755	12379
560	15787	12354
561	15816	12326
562	15848	12301
563	15877	12274
564	15907	12247
565	15937	12220
566	15970	12195
567	16005	12173
568	16035	12146
569	16063	12118
570	16093	12091
571	16125	12065
572	16157	12040
573	16189	12015
574	16223	11991
575	16256	11966
576	16284	11938
577	16318	11914
578	16345	11885
579	16374	11857
580	16407	11832
581	16450	11814
582	16477	11785
583	16505	11757
584	16537	11732
585	16567	11704
586	16597	11677
587	16631	11653
588	16664	11628
589	16695	11601
590	16729	11577
591	16760	11551
592	16790	11524
593	16819	11496
594	16852	11470
595	16886	11446
596	16917	11419
597	16949	11394
598	16976	11365
599	17005	11336
600	17034	11309
601	17065	11282
602	17100	11258
603	17130	11231
604	17161	11204
605	17193	11178
606	17226	11153
607	17260	11128
608	17295	11104
609	17323	11075
610	17354	11048
611	17384	11021
612	17415	10994
613	17442	10965
614	17470	10936
615	17504	10911
616	17544	10890
617	17572	10862
618	17604	10835
619	17633	10807
620	17663	10780
621	17706	10760
622	17753	10743
623	17793	10721
624	17838	10702
625	17878	10681
626	17919	10660
627	17954	10635
628	17984	10607
629	18015	10580
630	18045	10552
631	18076	10525
632	18105	10497
633	18140	10472
634	18176	10447
635	18210	10422
636	18242	10395
637	18273	10368
638	18302	10339
639	18332	10311
640	18365	10286
641	18402	10261
642	18433	10234
643	18472	10211
644	18516	10191
645	18563	10172
646	18612	10155
647	18657	10134
648	18699	10113
649	18731	10086
650	18764	10059
651	18796	10032
652	18833	10007
653	18863	9979
654	18892	9950
655	18920	9921
656	18949	9892
657	18977	9863
658	19005	9834
659	19036	9806
660	19075	9783
661	19104	9754
662	19137	9727
663	19167	9699
664	19198	9671
665	19229	9643
666	19262	9616
667	19293	9589
668	19321	9559
669	19352	9531
670	19385	9504
671	19412	9475
672	19443	9447
673	19472	9418
674	19505	9391
675	19538	9364
676	19569	9336
677	19600	9308
678	19633	9281
679	19667	9255
680	19700	9228
681	19738	9203
682	19768	9174
683	19799	9146
684	19832	9120
685	19862	9091
686	19890	9062
687	19922	9034
688	19954	9006
689	19983	8978
690	20017	8951
691	20048	8923
692	20078	8894
693	20115	8869
694	20150	8843
695	20183	8815
696	20218	8789
697	20247	8760
698	20279	8732
699	20307	8703
700	20338	8675
701	20373	8648
702	20410	8622
703	20444	8596
704	20477	8568
705	20511	8541
706	20545	8514
707	20575	8486
708	20614	8461
709	20648	8433
710	20677	8404
711	20706	8375
712	20739	8347
713	20770	8319
714	20804	8292
715	20834	8264
716	20864	8235
717	20896	8207
718	20927	8178
719	20958	8150
720	20993	8123
721	21027	8096
722	21058	8068
723	21088	8039
724	21120	8011
725	21149	7981
726	21178	7952
727	21211	7925
728	21241	7896
729	21276	7869
730	21306	7840
731	21337	7811
732	21367	7783
733	21399	7755
734	21427	7725
735	21461	7698
736	21493	7670
737	21524	7641
738	21558	7614
739	21587	7584
740	21616	7555
741	21648	7527
742	21682	7499
743	21715	7471
744	21750	7444
745	21781	7416
746	21814	7388
747	21845	7359
748	21877	7331
749	21911	7303
750	21942	7275
751	21972	7246
752	22003	7217
753	22033	7188
754	22064	7160
755	22096	7131
756	22131	7104
757	22167	7077
758	22194	7047
759	22223	7017
760	22257	6990
761	22288	6961
762	22315	6931
763	22349	6903
764	22382	6875
765	22413	6846
766	22442	6817
767	22473	6789
768	22501	6759
769	22528	6729
770	22562	6701
771	22602	6675
772	22637	6647
773	22672	6620
774	22703	6591
775	22732	6561
776	22760	6532
777	22796	6504
778	22828	6476
779	22860	6447
780	22888	6418
781	22920	6389
782	22952	6360
783	22981	6331
784	23012	6302
785	23045	6274
786	23079	6246
787	23108	6217
788	23142	6189
789	23175	6160
790	23207	6131
791	23240	6103
792	23276	6075
793	23305	6046
794	23338	6018
795	23367	5988
796	23396	5959
797	23427	5930
798	23458	5901
799	23489	5872
800	23519	5843
801	23551	5814
802	23579	5784
803	23611	5756
804	23639	5726
805	23674	5698
806	23710	5670
807	23743	5641
808	23772	5612
809	23803	5583
810	23833	5554
811	23868	5526
812	23900	5497
813	23949	5472
814	24035	5455
815	24081	5430
816	24115	5401
817	24153	5374
818	24185	5345
819	24215	5315
820	24247	5286
821	24278	5257
822	24307	5227
823	24339	5198
824	24373	5170
825	24404	5140
826	24437	5112
827	24469	5082
828	24500	5053
829	24531	5024
830	24563	4995
831	24593	4966
832	24625	4936
833	24657	4907
834	24687	4878
835	24720	4849
836	24752	4820
837	24787	4791
838	24820	4762
839	24854	4734
840	24886	4704
841	24916	4675
842	24953	4647
843	24985	4618
844	25016	4588
845	25047	4559
846	25080	4530
847	25109	4500
848	25139	4471
849	25169	4441
850	25205	4413
851	25239	4384
852	25272	4355
853	25305	4326
854	25336	4296
855	25368	4267
856	25403	4238
857	25433	4209
858	25468	4180
859	25501	4151
860	25533	4122
861	25564	4092
862	25594	4063
863	25624	4033
864	25660	4004
865	25695	3975
866	25729	3946
867	25758	3917
868	25788	3887
869	25821	3858
870	25853	3829
871	25883	3799
872	25914	3769
873	25947	3740
874	25980	3711
875	26010	3681
876	26042	3652
877	26073	3623
878	26103	3593
879	26138	3564
880	26168	3534
881	26198	3505
882	26229	3475
883	26261	3446
884	26292	3416
885	26325	3387
886	26358	3357
887	26391	3328
888	26424	3299
889	26454	3269
890	26484	3240
891	26515	3210
892	26548	3181
893	26579	3151
894	26611	3122
895	26639	3092
896	26668	3062
897	26697	3032
898	26727	3002
899	26758	2973
900	26787	2943
901	26824	2914
902	26852	2884
903	26885	2855
904	26915	2825
905	26947	2795
906	26981	2766
907	27019	2737
908	27059	2708
909	27089	2679
910	27121	2649
911	27153	2620
912	27182	2590
913	27214	2560
914	27251	2531
915	27282	2501
916	27310	2471
917	27339	2442
918	27372	2412
919	27399	2382
920	27426	2352
921	27459	2323
922	27495	2293
923	27529	2264
924	27560	2234
925	27590	2204
926	27622	2175
927	27656	2145
928	27689	2116
929	27724	2086
930	27753	2056
931	27783	2027
932	27816	1997
933	27850	1968
934	27879	1938
935	27915	1908
936	27951	1879
937	27982	1849
938	28012	1819
939	28045	1790
940	28077	1760
941	28107	1730
942	28143	1701
943	28175	1671
944	28205	1641
945	28236	1611
946	28270	1582
947	28301	1552
948	28329	1522
949	28365	1492
950	28401	1463
951	28434	1433
952	28469	1404
953	28500	1374
954	28532	1344
955	28568	1314
956	28602	1285
957	28633	1255
958	28666	1225
959	28696	1195
960	28727	1165
961	28762	1136
962	28796	1106
963	28830	1076
964	28858	1046
965	28890	1016
966	28922	987
967	28957	957
968	28988	927
969	29023	897
970	29055	867
971	29088	837
972	29119	808
973	29152	778
974	29182	748
975	29214	718
976	29249	688
977	29279	658
978	29314	628
979	29345	598
980	29378	569
981	29409	539
982	29447	509
983	29485	479
984	29519	449
985	29552	419
986	29582	389
987	29611	359
988	29640	329
989	29670	299
990	29707	269
991	29741	239
992	29770	209
993	29801	179
994	29831	149
995	29862	119
996	29889	89
997	29922	59
998	29953	29
999	29983	0
