iter	MultiClass
256	0.5932238391
257	0.5930277175
258	0.5929673011
259	0.5928909642
260	0.5928253995
261	0.5926961602
262	0.5925475685
263	0.5923717854
264	0.5919922504
265	0.5919109088
266	0.5918786265
267	0.5917742142
268	0.5917169339
269	0.5914419796
270	0.5909957358
271	0.5907860898
272	0.5905849448
273	0.5905186343
274	0.590296404
275	0.5900669006
276	0.5899952375
277	0.5899561459
278	0.589749648
279	0.5896177987
280	0.5892146831
281	0.5890519596
282	0.589005645
283	0.5888979434
284	0.5887096117
285	0.588652353
286	0.5885348078
287	0.5880492139
288	0.587812743
289	0.5876683518
290	0.5875407395
291	0.5875173604
292	0.5874649609
293	0.5873506078
294	0.5869310357
295	0.5869088111
296	0.5868906307
297	0.5868040176
298	0.586660055
299	0.5864104388
300	0.5861643033
301	0.5860929693
302	0.5860341225
303	0.5858265919
304	0.5855176899
305	0.5853699072
306	0.5852920351
307	0.5851913783
308	0.5851702935
309	0.5851233005
310	0.5848471928
311	0.5843715695
312	0.584356289
313	0.584124091
314	0.5840831197
315	0.5840696149
316	0.5840373943
317	0.5837192291
318	0.5836150008
319	0.5834305409
320	0.5833684833
321	0.5832704915
322	0.5832005682
323	0.5831700061
324	0.5830171107
325	0.5829908531
326	0.5829325267
327	0.582856861
328	0.5828289094
329	0.5826537659
330	0.5825800076
331	0.5825523199
332	0.5824884098
333	0.5823554781
334	0.5820027597
335	0.5819121268
336	0.5819000118
337	0.5818234835
338	0.5816909859
339	0.5816715455
340	0.5814380153
341	0.5814229895
342	0.5812178852
343	0.5812007294
344	0.5808833168
345	0.5807362531
346	0.5805908267
347	0.5805535438
348	0.5804492627
349	0.5804073095
350	0.5803838959
351	0.5802739867
352	0.5802651473
353	0.5801290903
354	0.5800288542
355	0.5797385483
356	0.5796132029
357	0.5795871883
358	0.5795521165
359	0.5795067893
360	0.5794412551
361	0.5792105096
362	0.5791461932
363	0.5789689226
364	0.5789546168
365	0.5785683812
366	0.5785473672
367	0.5784937071
368	0.5779319751
369	0.5777141023
370	0.5774587396
371	0.5772663657
372	0.577096166
373	0.5770240534
374	0.5768825879
375	0.5768135884
376	0.576429486
377	0.5763818056
378	0.5759976733
379	0.5758825345
380	0.57558967
381	0.5755666148
382	0.5753402409
383	0.5752874948
384	0.5751689863
385	0.5751427584
386	0.5749886299
387	0.574875371
388	0.5748456361
389	0.5747946322
390	0.5746035663
391	0.5745200998
392	0.5744873985
393	0.5743210649
394	0.5742671847
395	0.5740925821
396	0.5740164742
397	0.5739692821
398	0.5738369267
399	0.5736877526
400	0.5736048097
401	0.5735271418
402	0.5731098186
403	0.5729504519
404	0.5728571109
405	0.5727528657
406	0.5726204512
407	0.5724331823
408	0.5723237877
409	0.5722698499
410	0.5721428455
411	0.5719843791
412	0.5719483517
413	0.5718801164
414	0.5718709913
415	0.5717636127
416	0.5717547289
417	0.5717336152
418	0.5715896728
419	0.5715467104
420	0.5715040546
421	0.5714948959
422	0.5713309313
423	0.5708684087
424	0.5708008593
425	0.5707174222
426	0.5705877335
427	0.5705634869
428	0.5705482684
429	0.5704361477
430	0.5703921187
431	0.5701381003
432	0.5700948996
433	0.5698759477
434	0.5697520478
435	0.5696718607
436	0.56954987
437	0.5693345843
438	0.5691100239
439	0.5690562763
440	0.568878325
441	0.5687227447
442	0.568624426
443	0.5684366346
444	0.5683853952
445	0.5680724936
446	0.5679983231
447	0.567914447
448	0.5678058951
449	0.5676048618
450	0.5672427193
451	0.5670987522
452	0.5668725586
453	0.5667877883
454	0.5667172052
455	0.5666944707
456	0.5666530688
457	0.5664277471
458	0.5662873644
459	0.5661301237
460	0.5660995797
461	0.565911812
462	0.5656933414
463	0.56561525
464	0.5655930969
465	0.5655214229
466	0.5652334488
467	0.5652152868
468	0.5648285938
469	0.5646520128
470	0.5645194516
471	0.5643822059
472	0.5643475346
473	0.5642370971
474	0.5641364727
475	0.5639516951
476	0.5635831859
477	0.5635218725
478	0.5634544899
479	0.563408068
480	0.5633920404
481	0.5633834086
482	0.5633535369
483	0.5631372015
484	0.562954639
485	0.5628957464
486	0.5628834928
487	0.5628179963
488	0.5626029455
489	0.5625387438
490	0.5623690721
491	0.5622518267
492	0.5622391862
493	0.5620276662
494	0.5618053071
495	0.5616593579
496	0.5615983537
497	0.5614963699
498	0.5613179204
499	0.5611394536
500	0.5610162516
501	0.5609025214
502	0.5606553274
503	0.5605604025
504	0.5605144478
505	0.5604476338
506	0.5604203872
507	0.5603943746
508	0.5603296562
509	0.5601371108
510	0.5600986062
511	0.5598203415
512	0.5597884558
513	0.5597754879
514	0.5596046004
515	0.5595758846
516	0.5594896494
517	0.5593181884
518	0.5592866619
519	0.5590449425
520	0.5589083347
521	0.5588673456
522	0.5586361461
523	0.5584123475
524	0.5583097708
525	0.5582420618
526	0.5581727454
527	0.5581404152
528	0.5580799224
529	0.5578984235
530	0.5578416322
531	0.5576811629
532	0.5575664153
533	0.5574841119
534	0.5574705245
535	0.5573019803
536	0.5572433301
537	0.5571082431
538	0.5570948895
539	0.55708859
540	0.5570431225
541	0.5566735178
542	0.556355719
543	0.5562804742
544	0.5561473282
545	0.5560278395
546	0.5556485018
547	0.5555016491
548	0.5554534795
549	0.5553391897
550	0.5553332862
551	0.5552494456
552	0.5551261311
553	0.5551106058
554	0.5550089576
555	0.5547309717
556	0.5546314658
557	0.5546061049
558	0.5544610693
559	0.5542967449
560	0.5539478329
561	0.5538726371
562	0.5536366697
563	0.553559635
564	0.5534891214
565	0.5533773733
566	0.5532788878
567	0.5531929934
568	0.5531625544
569	0.5531544992
570	0.5531057647
571	0.5529926546
572	0.5527275301
573	0.5526956847
574	0.5526762784
575	0.5526444915
576	0.552624496
577	0.5524626874
578	0.5524210207
579	0.5523909191
580	0.5522730582
581	0.5522493452
582	0.5522419683
583	0.5522307311
584	0.5521940023
585	0.5521755417
586	0.5521582878
587	0.5520234459
588	0.5520060703
589	0.551953561
590	0.5518676106
591	0.5518580956
592	0.5517340902
593	0.5517258998
594	0.5516431412
595	0.5515698494
596	0.5515553229
597	0.551516876
598	0.5515112507
599	0.551478931
600	0.5514401688
601	0.5514118324
602	0.55126084
603	0.5511486806
604	0.5510348134
605	0.5509517713
606	0.5508250165
607	0.5506458277
608	0.5506105393
609	0.5505942739
610	0.550540296
611	0.5504717724
612	0.5503546924
613	0.5503426003
614	0.5503368315
615	0.5501408026
616	0.5496217056
617	0.5495895621
618	0.5493489862
619	0.5492381775
620	0.5491434188
621	0.5490603867
622	0.5490183823
623	0.548837968
624	0.5488251692
625	0.5488099424
626	0.5488026103
627	0.5487685946
628	0.5486968611
629	0.5484820741
630	0.5483983505
631	0.5482321768
632	0.5481887079
633	0.5479727081
634	0.5477789124
635	0.5473838971
636	0.5472535708
637	0.5470144631
638	0.5468289212
639	0.5466940969
640	0.5466774221
641	0.5464031923
642	0.5462937373
643	0.5461361246
644	0.5458048576
645	0.5457067792
646	0.5456841768
647	0.5455600446
648	0.5454086942
649	0.5453968876
650	0.5453091533
651	0.5451159891
652	0.5448933935
653	0.5448858698
654	0.544856336
655	0.5447499578
656	0.544734421
657	0.5447279748
658	0.5446808918
659	0.5445908635
660	0.5444071026
661	0.5443846033
662	0.5443265965
663	0.5442567201
664	0.5441913908
665	0.5441176815
666	0.544039441
667	0.5439708758
668	0.5439648586
669	0.5439033433
670	0.5437042875
671	0.5436149354
672	0.5434484681
673	0.5434222857
674	0.5433908494
675	0.543275099
676	0.543246402
677	0.5432071546
678	0.543104937
679	0.5428780988
680	0.5427909033
681	0.5425461613
682	0.5425321962
683	0.5424799583
684	0.5422724351
685	0.5422149849
686	0.5422066261
687	0.5421994415
688	0.5421756004
689	0.5421179907
690	0.5418283791
691	0.5416802436
692	0.5415314721
693	0.5413218674
694	0.5412744824
695	0.5410150726
696	0.5406853811
697	0.5405570804
698	0.5403550149
699	0.5403346335
700	0.5402178909
701	0.5401067584
702	0.5396040639
703	0.5394046587
704	0.5392709718
705	0.5391644654
706	0.5390492225
707	0.5390004893
708	0.5388020797
709	0.5386836465
710	0.538664711
711	0.5386475192
712	0.538562457
713	0.5384605263
714	0.5383622509
715	0.5383208955
716	0.5381576745
717	0.5380602768
718	0.5377965212
719	0.5377077876
720	0.5373189793
721	0.5372711436
722	0.5370822551
723	0.5369960722
724	0.5368980639
725	0.5368649123
726	0.5367461041
727	0.5365096631
728	0.5364184469
729	0.5361562868
730	0.5361312565
731	0.5360318788
732	0.5359221797
733	0.5358314028
734	0.5358188416
735	0.5357480156
736	0.5356718412
737	0.5356025464
738	0.5353713188
739	0.5353379178
740	0.5352330326
741	0.5351197411
742	0.5350559876
743	0.5349726789
744	0.5348665775
745	0.5347652733
746	0.5346573914
747	0.5346170751
748	0.5344402834
749	0.5343655919
750	0.5342809135
751	0.5341626498
752	0.5341012439
753	0.5339483302
754	0.5338862823
755	0.5337046222
756	0.5336228604
757	0.533378891
758	0.533372793
759	0.5333127931
760	0.5331752246
761	0.533123861
762	0.5331096211
763	0.5329171181
764	0.5328802118
765	0.5327593509
766	0.5326903446
767	0.5326179473
768	0.5326119788
769	0.5326062578
770	0.5324112951
771	0.5321211479
772	0.5319839627
773	0.5318326839
774	0.5316847356
775	0.5316559778
776	0.5316450623
777	0.5314030346
778	0.5312280266
779	0.531078367
780	0.5310498657
781	0.5309013809
782	0.5308524724
783	0.5308366272
784	0.5306882936
785	0.5305850435
786	0.5302755072
787	0.5301760109
788	0.5300332418
789	0.5297239544
790	0.529560393
791	0.5293798404
792	0.5291994311
793	0.5290717729
794	0.528924218
795	0.5288530861
796	0.5288242226
797	0.5286947794
798	0.5286564269
799	0.5286428297
800	0.5285747295
801	0.5285507756
802	0.5285250785
803	0.5282698745
804	0.528195067
805	0.5279599501
806	0.5277474527
807	0.5276799115
808	0.5276588165
809	0.5276173673
810	0.5274255302
811	0.5271240998
812	0.5270630921
813	0.526934656
814	0.5267566718
815	0.5267161117
816	0.5266117572
817	0.5264938343
818	0.5264394856
819	0.5263949412
820	0.5263670467
821	0.5262526613
822	0.5262288318
823	0.5261905624
824	0.5260215174
825	0.5259719481
826	0.525803258
827	0.5256834308
828	0.5255064575
829	0.5253797171
830	0.5253747119
831	0.5253394798
832	0.5251921279
833	0.5250489752
834	0.5249758019
835	0.5248667141
836	0.5247847187
837	0.524633076
838	0.5245437386
839	0.5244123217
840	0.5243300471
841	0.5242303454
842	0.5240648002
843	0.5239932321
844	0.5239525889
845	0.523929683
846	0.5237724595
847	0.5237436592
848	0.5237237394
849	0.5237013181
850	0.5232143031
851	0.5231290478
852	0.522952607
853	0.5226801163
854	0.5226265426
855	0.5225671819
856	0.5223138044
857	0.5222687348
858	0.521975517
859	0.5218056333
860	0.5217453475
861	0.5216392888
862	0.5215663211
863	0.5214783263
864	0.5211593434
865	0.5208336168
866	0.5206599622
867	0.5206316756
868	0.5206047197
869	0.5204731689
870	0.5202473907
871	0.5201483333
872	0.5201017392
873	0.5199998043
874	0.5198693862
875	0.5197778009
876	0.5196871035
877	0.5195321279
878	0.519513332
879	0.5194196391
880	0.5192867918
881	0.5192145214
882	0.5191923487
883	0.5190734684
884	0.5189951933
885	0.5187301397
886	0.518626475
887	0.5185483217
888	0.5184411907
889	0.5183735492
890	0.5182374919
891	0.5181832241
892	0.5181164673
893	0.518108646
894	0.5180436822
895	0.5180374216
896	0.5180152885
897	0.5178638241
898	0.5178076536
899	0.5177721751
900	0.5176428717
901	0.5175069194
902	0.5175022779
903	0.5173265904
904	0.5172826528
905	0.5172407746
906	0.5169488299
907	0.5169429522
908	0.5168554152
909	0.5167479506
910	0.5167038321
911	0.516570974
912	0.5165278707
913	0.5163851188
914	0.5161706429
915	0.5161300423
916	0.5160383948
917	0.5160304394
918	0.5160087502
919	0.51600178
920	0.5159803707
921	0.5158492037
922	0.515711715
923	0.5154838812
924	0.5154365456
925	0.515414298
926	0.5153385794
927	0.5151887012
928	0.5150341352
929	0.5149182805
930	0.5148346425
931	0.5146508188
932	0.5144970575
933	0.5143765391
934	0.5142924523
935	0.5142563577
936	0.5142129939
937	0.5141737
938	0.5140527418
939	0.5138832545
940	0.5137754613
941	0.5137572265
942	0.5136852876
943	0.5136366238
944	0.5135377307
945	0.5134852857
946	0.5132804873
947	0.5131673185
948	0.5131436552
949	0.5129093344
950	0.5126499201
951	0.5125472425
952	0.5122824054
953	0.5122190736
954	0.5120788318
955	0.5117388631
956	0.5116909392
957	0.5116229886
958	0.5112974818
959	0.5112516962
960	0.5112184487
961	0.5109295287
962	0.5106844387
963	0.5106413701
964	0.5106332596
965	0.510619688
966	0.5105401057
967	0.5103757132
968	0.5101491657
969	0.5100180841
970	0.5098205582
971	0.5095647701
972	0.5095126916
973	0.5094719667
974	0.5093248699
975	0.509154942
976	0.5089026536
977	0.5088734248
978	0.5086565949
979	0.5086037307
980	0.5083455954
981	0.5082833032
982	0.5080580993
983	0.5078576035
984	0.5076983844
985	0.5076068054
986	0.5075704027
987	0.5074299657
988	0.5074097846
989	0.5073234602
990	0.5071918065
991	0.5071070883
992	0.5070632491
993	0.5069566247
994	0.5069142404
995	0.5067799776
996	0.5067590503
997	0.5066266028
998	0.5065920482
999	0.506537164
